Repository,Path,BackendType,BackendRegion,Providers,Modules,Resources,Variables,Outputs,UntaggedResources
aws-cloudformation-terraform-backend,/home/family/src/gh-repos-clone/cloudposse/aws-cloudformation-terraform-backend,none,none,0,0,0,0,0,0
community,/home/family/src/gh-repos-clone/cloudposse/community,none,none,0,0,0,0,0,0
demo-vhs,/home/family/src/gh-repos-clone/cloudposse/demo-vhs,none,none,0,0,0,0,0,0
asdf-atmos,/home/family/src/gh-repos-clone/cloudposse/asdf-atmos,none,none,0,0,0,0,0,0
.github,/home/family/src/gh-repos-clone/cloudposse/.github,none,none,0,0,0,0,0,0
default-backend,/home/family/src/gh-repos-clone/cloudposse/default-backend,none,none,0,0,0,0,0,0
github-action-atmos-affected-trigger-spacelift,/home/family/src/gh-repos-clone/cloudposse/github-action-atmos-affected-trigger-spacelift,none,none,0,0,1,1,0,1
github-action-atmos-terraform-drift-remediation,/home/family/src/gh-repos-clone/cloudposse/github-action-atmos-terraform-drift-remediation,none,none,0,0,0,0,0,0
github-actions-workflows-terraform-module,/home/family/src/gh-repos-clone/cloudposse/github-actions-workflows-terraform-module,none,none,0,0,0,0,0,0
build-harness,/home/family/src/gh-repos-clone/cloudposse/build-harness,none,none,0,0,0,0,0,0
github-action-preview-labels-cleanup,/home/family/src/gh-repos-clone/cloudposse/github-action-preview-labels-cleanup,none,none,0,0,0,0,0,0
github-action-spacelift-stack-deploy,/home/family/src/gh-repos-clone/cloudposse/github-action-spacelift-stack-deploy,none,none,0,0,0,0,0,0
github-action-datadog-notify,/home/family/src/gh-repos-clone/cloudposse/github-action-datadog-notify,none,none,0,0,0,0,0,0
github-action-deploy-argocd,/home/family/src/gh-repos-clone/cloudposse/github-action-deploy-argocd,none,none,0,0,0,0,0,0
lambda-github-action-token-rotator,/home/family/src/gh-repos-clone/cloudposse/lambda-github-action-token-rotator,none,none,0,0,0,0,0,0
github-action-config-levels,/home/family/src/gh-repos-clone/cloudposse/github-action-config-levels,none,none,0,0,0,0,0,0
github-action-auto-format,/home/family/src/gh-repos-clone/cloudposse/github-action-auto-format,none,none,0,2,1,37,3,1
github-action-terraform-plan-storage,/home/family/src/gh-repos-clone/cloudposse/github-action-terraform-plan-storage,none,none,0,0,0,0,0,0
github-action-atmos-affected-stacks,/home/family/src/gh-repos-clone/cloudposse/github-action-atmos-affected-stacks,none,none,0,0,1,1,0,1
github-action-deploy-helmfile,/home/family/src/gh-repos-clone/cloudposse/github-action-deploy-helmfile,none,none,0,0,0,0,0,0
github-action-aws-region-reduction-map,/home/family/src/gh-repos-clone/cloudposse/github-action-aws-region-reduction-map,none,none,0,0,0,0,0,0
github-action-docker-promote,/home/family/src/gh-repos-clone/cloudposse/github-action-docker-promote,none,none,0,0,0,0,0,0
github-action-interface-environment,/home/family/src/gh-repos-clone/cloudposse/github-action-interface-environment,none,none,0,0,0,0,0,0
github-action-docker-build-push,/home/family/src/gh-repos-clone/cloudposse/github-action-docker-build-push,none,none,0,0,0,0,0,0
github-action-docker-image-exists,/home/family/src/gh-repos-clone/cloudposse/github-action-docker-image-exists,none,none,0,0,0,0,0,0
github-action-kubernetes-environment,/home/family/src/gh-repos-clone/cloudposse/github-action-kubernetes-environment,none,none,0,0,0,0,0,0
github-action-major-release-tagger,/home/family/src/gh-repos-clone/cloudposse/github-action-major-release-tagger,none,none,0,0,0,0,0,0
github-action-docker-compose-test-run,/home/family/src/gh-repos-clone/cloudposse/github-action-docker-compose-test-run,none,none,0,0,0,0,0,0
github-action-matrix-outputs-read,/home/family/src/gh-repos-clone/cloudposse/github-action-matrix-outputs-read,none,none,0,0,0,0,0,0
bastion,/home/family/src/gh-repos-clone/cloudposse/bastion,none,none,0,0,0,0,0,0
github-action-preview-environment-controller,/home/family/src/gh-repos-clone/cloudposse/github-action-preview-environment-controller,none,none,0,0,0,0,0,0
github-action-pull-request-labeling,/home/family/src/gh-repos-clone/cloudposse/github-action-pull-request-labeling,none,none,0,0,0,0,0,0
github-action-deploy-spacelift,/home/family/src/gh-repos-clone/cloudposse/github-action-deploy-spacelift,none,none,0,0,0,0,0,0
github-action-release-branch-manager,/home/family/src/gh-repos-clone/cloudposse/github-action-release-branch-manager,none,none,0,0,0,0,0,0
github-action-atmos-dependencies-test,/home/family/src/gh-repos-clone/cloudposse/github-action-atmos-dependencies-test,none,none,0,0,0,0,0,0
github-action-monorepo-random-controller,/home/family/src/gh-repos-clone/cloudposse/github-action-monorepo-random-controller,none,none,0,0,0,0,0,0
github-action-release-label-validator,/home/family/src/gh-repos-clone/cloudposse/github-action-release-label-validator,none,none,0,0,0,0,0,0
